"","G1","G2","G3","Hydra1","Hydra2","Hydra3"
"NZ_CP015698.1_cds_1008",479,596,459,3,4,5
"NZ_CP015698.1_cds_1009",390,367,312,1,10,6
"NZ_CP015698.1_cds_1067",178,180,162,2,2,6
"NZ_CP015698.1_cds_1069",157,121,128,1,5,3
"NZ_CP015698.1_cds_122",288,213,298,1,5,15
"NZ_CP015698.1_cds_1284",27,19,20,0,1,0
"NZ_CP015698.1_cds_1375",81,105,83,0,2,3
"NZ_CP015698.1_cds_1376",153,131,111,2,1,1
"NZ_CP015698.1_cds_1555",107,107,106,1,4,4
"NZ_CP015698.1_cds_1581",578,476,517,5,18,36
"NZ_CP015698.1_cds_1587",530,441,464,13,54,136
"NZ_CP015698.1_cds_1588",46,44,35,3,13,9
"NZ_CP015698.1_cds_1603",179,215,177,6,2,12
"NZ_CP015698.1_cds_1636",143,116,137,2,7,4
"NZ_CP015698.1_cds_1641",120,133,113,0,2,4
"NZ_CP015698.1_cds_1643",149,111,137,2,5,1
"NZ_CP015698.1_cds_1647",241,176,199,1,6,12
"NZ_CP015698.1_cds_1649",1717,1913,1696,13,40,62
"NZ_CP015698.1_cds_1683",116,94,130,7,14,20
"NZ_CP015698.1_cds_1684",141,159,135,3,10,16
"NZ_CP015698.1_cds_1685",97,131,97,3,2,0
"NZ_CP015698.1_cds_1686",934,814,884,33,39,46
"NZ_CP015698.1_cds_1693",113,91,87,2,14,6
"NZ_CP015698.1_cds_1731",165,200,143,0,1,3
"NZ_CP015698.1_cds_174",272,261,231,4,20,42
"NZ_CP015698.1_cds_2015",86,89,66,2,0,2
"NZ_CP015698.1_cds_2016",152,145,138,4,7,7
"NZ_CP015698.1_cds_2078",324,295,317,7,13,14
"NZ_CP015698.1_cds_2079",276,293,243,5,7,21
"NZ_CP015698.1_cds_2086",3307,4120,3436,21,70,113
"NZ_CP015698.1_cds_2113",101,106,68,0,3,8
"NZ_CP015698.1_cds_2114",32,43,38,0,4,1
"NZ_CP015698.1_cds_2117",361,389,301,3,8,9
"NZ_CP015698.1_cds_2180",62,47,58,2,2,2
"NZ_CP015698.1_cds_2313",29,35,21,0,0,2
"NZ_CP015698.1_cds_2315",1196,881,1061,3,12,18
"NZ_CP015698.1_cds_2500",724,597,695,21,28,36
"NZ_CP015698.1_cds_2589",52,61,52,1,4,1
"NZ_CP015698.1_cds_2608",10708,6936,9175,103,295,398
"NZ_CP015698.1_cds_2699",473,377,393,5,7,11
"NZ_CP015698.1_cds_2919",87,45,50,1,5,3
"NZ_CP015698.1_cds_3107",211,293,228,0,5,9
"NZ_CP015698.1_cds_3453",1371,1448,1254,14,41,82
"NZ_CP015698.1_cds_3492",97,116,82,1,8,6
"NZ_CP015698.1_cds_3493",170,181,134,2,5,7
"NZ_CP015698.1_cds_3514",163,202,149,1,4,11
"NZ_CP015698.1_cds_3594",249,197,197,0,3,3
"NZ_CP015698.1_cds_3599",338,310,317,3,5,14
"NZ_CP015698.1_cds_3600",145,154,131,1,5,9
"NZ_CP015698.1_cds_3601",53,36,24,0,0,0
"NZ_CP015698.1_cds_3602",186,160,179,0,4,9
"NZ_CP015698.1_cds_3604",237,224,221,1,16,14
"NZ_CP015698.1_cds_3609",136,90,110,3,6,2
"NZ_CP015698.1_cds_3635",1052,905,876,8,18,28
"NZ_CP015698.1_cds_3651",455,443,396,3,8,6
"NZ_CP015698.1_cds_3653",35,48,56,0,2,2
"NZ_CP015698.1_cds_3743",603,649,597,5,13,31
"NZ_CP015698.1_cds_3907",182,202,144,5,12,38
"NZ_CP015698.1_cds_3979",17,19,14,0,0,1
"NZ_CP015698.1_cds_456",409,379,310,3,16,29
"NZ_CP015698.1_cds_572",69,73,45,1,1,2
"NZ_CP015698.1_cds_65",218,151,187,2,4,2
"NZ_CP015698.1_cds_948",49,54,46,0,0,3
"NZ_CP015698.1_cds_949",65,50,53,0,1,1
"NZ_CP015698.1_cds_952",153,175,133,5,12,10
"NZ_CP015698.1_cds_953",136,168,145,1,2,4
"WP_006296472.1",5969,3082,5135,205,299,426
"WP_006299042.1",2457,1548,2127,135,309,212
"WP_007861702.1",8485,6901,7862,621,953,1034
"WP_011466063.1",8200,5015,7361,525,1015,1121
"WP_012348927.1",3337,2672,3231,222,494,460
"WP_019429175.1",8834,8136,8460,821,1327,1325
"WP_029706489.1",10009,6127,8608,301,670,909
"WP_029708819.1",6217,3972,5166,1303,1640,1268
"WP_066705893.1",7754,4509,6577,484,885,793
"WP_066709320.1",3102,2186,2928,16,34,59
"WP_068674876.1",11102,10531,11427,793,1418,1066
"WP_075585605.1",8632,8687,8827,654,1256,1012
"WP_087493495.1",512,480,454,2,4,6
"WP_087493496.1",170,169,165,1,5,4
"WP_087493497.1",1446,1328,1460,26,62,79
"WP_087493498.1",99,146,98,0,5,19
"WP_087493499.1",345,325,268,1,7,4
"WP_087493500.1",655,762,674,4,14,25
"WP_087493501.1",218,227,195,2,3,12
"WP_087493502.1",1529,1335,1426,12,39,44
"WP_087493503.1",1248,1029,1042,7,16,22
"WP_087493504.1",684,580,578,11,14,20
"WP_087493505.1",872,833,806,24,62,59
"WP_087493506.1",1551,1573,1413,43,74,74
"WP_087493507.1",1449,1213,1245,50,161,126
"WP_087493508.1",1323,1043,1121,48,88,64
"WP_087493509.1",6781,5789,6036,219,536,478
"WP_087493510.1",1883,1873,1682,55,140,111
"WP_087493511.1",14578,11857,13136,232,526,648
"WP_087493512.1",1054,880,990,32,67,64
"WP_087493513.1",3071,2930,2691,70,125,143
"WP_087493514.1",863,777,723,8,23,25
"WP_087493515.1",495,483,402,3,8,19
"WP_087493516.1",105,104,114,1,5,7
"WP_087493517.1",2214,2451,2161,18,38,88
"WP_087493518.1",1413,1409,1228,8,12,30
"WP_087493519.1",294,184,224,4,5,27
"WP_087493520.1",227,182,213,1,3,5
"WP_087493521.1",3310,3542,3140,48,114,264
"WP_087493522.1",278,278,271,3,8,22
"WP_087493523.1",95,98,82,1,1,4
"WP_087493524.1",158,173,142,1,1,4
"WP_087493525.1",174,223,166,0,2,3
"WP_087493526.1",79,113,87,1,1,3
"WP_087493527.1",271,249,252,3,3,7
"WP_087493528.1",359,413,344,2,5,5
"WP_087493530.1",1622,1905,1717,8,56,131
"WP_087493531.1",3467,3638,3116,12,66,201
"WP_087493532.1",2025,2395,1838,7,39,103
"WP_087493533.1",104,129,119,3,11,29
"WP_087493534.1",6782,7000,6950,126,334,1005
"WP_087493535.1",2244,2941,2536,72,210,427
"WP_087493536.1",2917,3678,3308,64,164,456
"WP_087493538.1",225,209,199,1,13,37
"WP_087493539.1",524,612,468,3,9,49
"WP_087493540.1",3612,3525,3287,18,81,173
"WP_087493541.1",409,443,366,5,12,40
"WP_087493543.1",88,101,100,8,12,12
"WP_087493545.1",156,142,129,0,3,12
"WP_087493546.1",85,87,80,0,0,5
"WP_087493547.1",104,110,97,0,1,1
"WP_087493548.1",137,118,128,2,3,4
"WP_087493550.1",57,57,57,0,0,1
"WP_087493553.1",263,277,275,4,7,3
"WP_087493554.1",1205,1147,1169,10,22,45
"WP_087493555.1",514,472,500,6,14,23
"WP_087493556.1",753,609,626,6,26,50
"WP_087493557.1",264,236,251,5,7,8
"WP_087493558.1",148,152,150,1,4,7
"WP_087493559.1",108,113,75,1,0,0
"WP_087493560.1",157,120,123,0,5,3
"WP_087493562.1",174,170,149,3,5,5
"WP_087493563.1",173,150,171,1,2,8
"WP_087493564.1",766,709,710,6,17,19
"WP_087493565.1",231,212,184,3,5,7
"WP_087493567.1",203,211,208,4,5,11
"WP_087493568.1",52,30,39,0,3,0
"WP_087493570.1",183,170,164,1,1,7
"WP_087493571.1",483,378,432,2,5,10
"WP_087493572.1",395,377,359,5,3,13
"WP_087493573.1",35,56,42,1,4,4
"WP_087493574.1",49,54,36,0,4,3
"WP_087493575.1",14,11,20,0,1,1
"WP_087493576.1",29,32,32,0,0,0
"WP_087493577.1",35,40,30,0,1,3
"WP_087493578.1",64,74,68,0,2,8
"WP_087493579.1",97,113,83,0,1,6
"WP_087493580.1",1580,1923,1567,22,44,121
"WP_087493581.1",274,348,261,0,3,15
"WP_087493582.1",1288,1333,1179,10,22,79
"WP_087493583.1",1438,1773,1519,9,15,68
"WP_087493584.1",302,340,287,3,3,15
"WP_087493585.1",288,354,252,2,19,33
"WP_087493586.1",1855,1940,1776,27,72,125
"WP_087493587.1",848,974,847,21,55,86
"WP_087493588.1",2841,3234,2815,44,113,200
"WP_087493589.1",99,108,81,1,4,5
"WP_087493590.1",947,757,839,112,183,266
