"","qseqid","sseqid","pident","evalue","bitscore","slen","qgi","sgi","sacc","staxids","sscinames","scomnames","stitle","organism_name_taxdb","genus","family","superfamily","order","class","phylum"
"0","tr|I6XGD8|DosR","WP_087495198.1_GCF_002163715.1_ASM216371v1","32.353","1.610000e-28","103.0","209","0","0","WP_087495198.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator transcription factor [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"1","tr|I6XGD8|DosR","WP_087493495.1_GCF_002163715.1_ASM216371v1","33.654","9.340000e-10","51.6","107","0","0","WP_087493495.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator transcription factor [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"2","tr|I6XGD8|DosR","WP_232460027.1_GCF_002163715.1_ASM216371v1","30.702","1.200000e-09","54.3","497","0","0","WP_232460027.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","sigma 54-interacting transcriptional regulator [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"3","tr|I6XGD8|DosR","WP_087495105.1_GCF_002163715.1_ASM216371v1","24.876","7.240000e-09","50.8","209","0","0","WP_087495105.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"4","tr|I6XGD8|DosR","WP_087493629.1_GCF_002163715.1_ASM216371v1","27.749","6.120000e-08","48.1","208","0","0","WP_087493629.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"5","tr|I6XGD8|DosR","WP_087495663.1_GCF_002163715.1_ASM216371v1","24.537","4.930000e-07","45.8","213","0","0","WP_087495663.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"6","tr|I6XGD8|DosR","WP_087494750.1_GCF_002163715.1_ASM216371v1","27.397","5.920000e-07","46.2","360","0","0","WP_087494750.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","chemotaxis-specific protein-glutamate methyltransferase CheB [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"7","tr|I6XGD8|DosR","WP_087496355.1_GCF_002163715.1_ASM216371v1","27.500","7.850000e-07","43.9","121","0","0","WP_087496355.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","response regulator [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"8","tr|I6XGD8|DosR","WP_087495191.1_GCF_002163715.1_ASM216371v1","27.619","5.290000e-06","43.1","363","0","0","WP_087495191.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","chemotaxis response regulator protein-glutamate methylesterase [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
"9","tr|I6XGD8|DosR","WP_087495227.1_GCF_002163715.1_ASM216371v1","27.619","5.530000e-06","41.6","129","0","0","WP_087495227.1_GCF_002163715.1_ASM216371v1","1844971","Curvibacter sp. AEP1-3","Curvibacter sp. AEP1-3","chemotaxis response regulator CheY [Curvibacter sp. AEP1-3]","Curvibacter sp. AEP1-3","Curvibacter","Comamonadaceae","unknown","Burkholderiales","Betaproteobacteria","Pseudomonadota"
